Alabama	Chickasaw	10894952	909156	30.77145	-88.079697	38773	30506	33101	1638.26051309172	63	33.6	0.8	0.5	2.3
Alabama	Louisville	26070325	23254	31.708516	-85.611039	37725	19528	43789	258.017684685483	49.3	44.1	0.8	0	7.9
Alabama	Columbiana	44835274	261034	33.191452	-86.615618	54606	31930	57348	926.030999750251	71.3	25.1	0.3	0.2	3
Alabama	Satsuma	36878729	2374530	30.874343	-88.009442	63919	52814	47707	378.11461910293	88.7	7.9	1.2	0.6	1.1
Alabama	Dauphin Island	16204185	413605152	30.250913	-88.171268	77948	67225	54270	282.320327843928	97.3	0.4	1	0.2	0.7
Alabama	Cullman	8913021	26837	34.045414	-86.88267	50715	42643	35886	173.325958599703	93.4	0.9	0.3	0.9	8.2
Alabama	East Brewton	8826252	91015	31.09144	-87.055345	33737	23610	28256	758.771322372054	74.7	20.8	0.6	0	3.1
Alabama	Coosada	10222339	176500	32.544337	-86.336446	46319	40242	38941	397.052564239374	57.7	40	0.4	0.2	2.9
Alabama	Eva	10544874	78981	34.326504	-86.765318	57994	39591	47235	137.496038515582	96.3	0	0.4	0.2	0.4
Alabama	Sylacauga	45178321	6034534	33.168097	-86.442774	54807	41712	51359	380.728238095448	66.6	30.2	0.4	0.5	2.3
Alabama	Rainsville	145527967	924063	34.457329	-85.689447	47929	38947	44430	3621.63031898417	95.1	0.2	0.9	0.2	3.8
Alabama	Gadsden	96637272	3060329	34.009563	-86.015643	42251	28811	41397	10716.1392370522	57.3	36.3	0.4	0.6	5.4
Alabama	Georgiana	16154540	0	31.639134	-86.746762	27993	19757	27656	553.438214146472	33.1	65.4	0.3	0.1	0.3
Alabama	Rockford	16819854	75870	33.060835	-86.052333	31229	22745	27452	528.084884689552	62.5	37.5	0	0	1.3
Alabama	Greensboro	6156793	24951	32.700968	-87.5937	36439	21136	45043	775.252484592484	32	66.5	0.2	0.8	0.5
Alabama	Guin	5028328	0	33.944319	-87.870368	56934	39047	53934	37.2643315105633	86.9	10.9	0	0.1	1.3
Alabama	Hartford	16152099	37439	31.105348	-85.691225	41057	21608	45280	770.56583917391	77.9	17.9	0.6	0.1	3.1
Alabama	Helena	53950336	833954	33.285635	-86.874488	93682	300000	55763	359.444828293645	82.5	13.1	0.2	1.5	3.3
